求人番号,職種,仕事の内容,賃金,就業時間,事業所名,詳細
08020-02457611,システムエンジニア（組込系）,＊組込系システムの設計及び開発を担当していただきます。【開発環境】,"280,000円〜480,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002457611&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-09403511,公共系システム開発（ＳＥ）,＊公共系システムの開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801009403511&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-08596111,ＳＥ（システムエンジニア）,プラント制御システム、業務システム、車載システム等様々なソフトウェア、システムの開発業務です。スキルや経験に合わせて得意な工程をお任せ致します。,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社テクノプロ　テクノプロ・エンジニアリング社　つくば支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804008596111&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02344811,システムエンジニア,＊電気設計、ソフト開発（Ｃ言語）、ハード設計、システム検査　シーケンス制御＊インフラ関連設備（主に上下水道等）の品質管理、試運転業務,"165,000円〜400,000円","										（1）08時50分〜17時35分
",株式会社　ユーメック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002344811&kJKbn=1&jGSHNo=akOewyGDQwhRGYGG6GcuIA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-08574211,システム設計・開発エンジニア,既存システム等の設計・開発を行っていただきます。＊工程：設計～テスト,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社テクノプロ　テクノプロ・エンジニアリング社　つくば支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804008574211&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-08576411,ＩＴインフラ／サーバーネットワークエンジニア,下記の業務を行っていただきます。・サーバー基盤の設計・構築・運用・保守（Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ）,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社テクノプロ　テクノプロ・エンジニアリング社　つくば支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804008576411&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-39560811,ＳＥ・プログラマ／水戸事業所,システム開発全般・業務系システム開発　　　　・ＷＥＢアプリケーション開発・モバイル系システム開発,"192,500円〜378,530円",フレックスタイム制,株式会社　ジャパンテクニカルソフトウエア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304039560811&kJKbn=1&jGSHNo=DIMGCi1Fy1GL6vcstusNBA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08941711,データ管理業務／エンジニア補助業務,・ＰＤＦデータ等の管理業務を行って頂きながら、機械設計　やシステム開発の補助業務を行って頂きます。,"190,500円〜210,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008941711&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02316611,システムエンジニア／プログラマー,（１）社会インフラ分野社会インフラを支えるシステムとして、監視制御サーバやクライアントのアプリケーションソフト等システム開発,"230,000円〜360,000円","										（1）08時50分〜17時20分
",アイエンジニアリング　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002316611&kJKbn=1&jGSHNo=zcSfcmlYGg5dUNm%2Bsl7KyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02229611,ＰＬＣラダー設計開発,＊各種電気計装・制御設計（ＰＬＣ／ラダー）の開発業務【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002229611&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08560911,システムエンジニア（ラダー／シーケンス）,プラント向け設計・開発,"280,000円〜450,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　茨城営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008560911&kJKbn=1&jGSHNo=JhG1mokBupVuGeEsyIohPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08577911,システムエンジニア,下記の業務を行っていただきます・ＥＣサイト、ポータルサイト、設計開発・金融、公共、医療、通信関連の業務アプリ開発,"210,000円〜350,000円","										（1）09時00分〜18時00分
",サーマルエンジニアリング　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008577911&kJKbn=1&jGSHNo=HGPK9XlbKQFaG%2BmGA1wV6w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08597211,ＰＬＣラダー設計開発,＊各種電気計装・制御設計（ＰＬＣ／ラダー）の開発業務　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008597211&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08512811,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発を担当して頂きます。　【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008512811&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08513211,プログラマー（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの開発を担当して頂きます。　【開発環境】,"280,000円〜400,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008513211&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02148311,システムエンジニア／プログラマ,＊Ｗｅｂアプリケーション設計・開発などの業務　　※Ｖｂ．ｎｅｔ，Ｃ＃，ＪＡＶＡ，Ｃ＋＋の経験者優遇,"165,000円〜450,000円","										（1）09時00分〜18時00分
",有限会社　ドリームズ・カム・トゥルー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002148311&kJKbn=1&jGSHNo=Gaclk8ecpTC%2Fw%2BNV6BVYHA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-08277411,システムエンジニア（ＶＢ．Ｎｅｔ）,＊顧客管理システムの設計及び開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801008277411&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02097211,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002097211&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-02044911,システムエンジニア（制御系）,＊制御システムの設計及び開発を担当していただきます。【開発環境】,"280,000円〜480,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　北関東支社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802002044911&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
