求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
13010-02774211,【指定管理】相談拠点相談員,千代田区の委託を受けた高齢者総合サポートセンターの相談業務を２４時間３６５日体制で行います。個別ケースを持ちませんが地域高齢者全体を包括的に支援する役割,"222,000円〜272,000円",変形労働時間制,社会福祉法人東京栄和会　千代田区立一番町特別養護老人ホーム,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002774211&kJKbn=1&jGSHNo=zi0dARZ982Vli0caXW0tQw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02813511,システムエンジニア（．ＮＥＴ）,システム開発・保守（経験によりスキルにあったプロジェクトへ参画を行います）,"302,250円〜500,123円","										（1）09時00分〜18時00分
",株式会社　システムソフィア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002813511&kJKbn=1&jGSHNo=mv3gqFe2fa1aLZIuA0%2F2nA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02815011,インフラ系エンジニア,各サーバー設計・構築（経験してきたスキルにあったプロジェクトに参画していただきます）,"302,250円〜500,123円","										（1）09時00分〜18時00分
",株式会社　システムソフィア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002815011&kJKbn=1&jGSHNo=mv3gqFe2fa1aLZIuA0%2F2nA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03163811,ＣＯＢＯＬ技術者（汎用機、ＵＮＩＸ）,１．プログラマー　　詳細設計、製造、テスト（初心者は製造～テスト）２．システムエンジニア,"200,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003163811&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03168311,Ｃ、Ｃ＋＋技術者（ＵＮＩＸ、Ｗｉｎｄｏｗｓ）,・プログラマー　詳細設計～単体テスト・システムエンジニア,"200,000円〜600,000円","										（1）09時00分〜17時30分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003168311&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03169611,ＶＢ．Ｎｅｔ技術者ＡＳＰ．Ｎｅｔ技術者,・プログラマー　詳細設計／単体テスト,"200,000円〜600,000円","										（1）09時00分〜17時30分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003169611&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03170811,Ｃ♯．Ｎｅｔ／ＶＢ．Ｎｅｔ技術者,〔システムエンジニア〕・要件定義～製造～結合,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003170811&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-01330211,Ｌｉｎｕｘ（ＲＨＥＬ）基盤構築（九段下）,基盤アーキテクチャ刷新を伴うシステム更改に関するサーバ構築担当および維持管理　（要件定義からの参画）,"300,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　富士三和総研,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309001330211&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-01385911,システム・アプリ開発部門統括,地域×ＩＴをテーマした新しい会社です。今後の会社の規模拡張に伴う,"600,000円〜1,000,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309001385911&kJKbn=1&jGSHNo=nccBsNWMUm2LZ373eymFUg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-02379011,システムエンジニア,コンピュータソフトウエアの設計・開発・開発言語は,"300,000円〜660,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401002379011&kJKbn=1&jGSHNo=x%2FgyvwtocwVbzXN8LrDH8g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02122111,ＳＥ,受託開発チームの業務ＳＥおよび開発リーダを担当して頂きます。システム営業と協同で、お客様のニーズ、お悩みをヒアリングしソリューション提案をして頂きます。,"220,000円〜400,000円","										（1）09時00分〜17時45分
",株式会社　創源　神田営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002122111&kJKbn=1&jGSHNo=P6kRWVjSiYdApGv5lizqag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02139911,システムエンジニア（システム運用、業務運用）,Ｗｉｎｄｏｗｓサーバ、Ｌｉｎｕｘサーバをメインとして様々な運用業務を行います。入社後は社内研修で約１ヶ月間ＩＴ技術の基礎を学びます。,"200,000円〜400,000円","										（1）09時00分〜17時45分
",株式会社　創源　神田営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002139911&kJKbn=1&jGSHNo=P6kRWVjSiYdApGv5lizqag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02144411,プロジェクトマネージャー、ＰＭＯ,オープン系、ＷＥＢ系システム開発プロジェクトの管理全般・要件定義、機能仕様管理、進捗管理、品質管理、お客様へ,"300,000円〜500,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002144411&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
04010-01350011,ＳＥ（経験者）,・ＪＡＶＡ、ＰＨＰ、Ｃ♯、ＣＯＢＯＬ等でのＷｅｂ・オープン系　システム開発,"172,000円〜525,000円","										（1）09時00分〜17時45分
",株式会社　グローバルソフトウェアサービス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0401001350011&kJKbn=1&jGSHNo=9dPoSMTSJJEH3JOAVf8fRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00660711,システム設計・プログラム開発［千代田区］＜トライアル併用,・取引先のシステム設計・プログラム開発及びその関連作業・入社後、社内にて研修を行います。,"180,000円〜250,000円","										（1）09時00分〜17時45分
",株式会社　ハイデックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000660711&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00669111,システム設計・プログラム開発［千代田区］（経験者）,取引先のシステム設計・プログラム開発及びその関連作業　・ＰＭＯ業務　・ＳＥ、ＰＧ,"255,000円〜550,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000669111&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01846011,ＩＴエンジニア（業務系・インフラ系）,業務系ソフトウェア開発（物流、金融、流通、製造、サービス業）の業務分野を中心とした基幹業務システム開発やＷＥＢアプリケーション開発,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　来夢多,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001846011&kJKbn=1&jGSHNo=hziEPG7axx3rAeMpc2ia%2Fg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01849911,ＩＴエンジニア（組込み・制御）,制御・組込系ソフトウエア開発（遠隔制御、遠隔監視、画像システム、等）,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　来夢多,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001849911&kJKbn=1&jGSHNo=hziEPG7axx3rAeMpc2ia%2Fg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01224011,システム開発：ｗｅｂシステム、ＰＨＰ、Ｆｉｌｅｍａｋｅｒ,・お客様に業務内容をヒアリングし、システムを組み、そのシステ　ム導入のフォローをして頂きます。・月１～２回程度お客様のオフィスに伺い、進捗状況確認と報告を,"200,000円〜420,000円","										（1）10時00分〜19時00分
",ブロードバンドジャパン株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001224011&kJKbn=1&jGSHNo=PmRuSgHe4T0%2B1krvRi1BVA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01392511,病院内システムの保守・運用・ヘルプデスク業務,・電子カルテシステムならびに病院内ＩＴシステムの保守・運用・将来的に医療機関（病院）での常駐型ヘルプデスク業務可能性有,"180,000円〜350,000円","										（1）09時00分〜18時00分
",プレシャスシステム　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001392511&kJKbn=1&jGSHNo=DHuMsuELMQgVRLb6hNZGcg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01405211,業務系システムエンジニア,人事労務・会計の業務システムの社内開発を主な業務としており、設計作業からシステムテストまで携わって頂きます。大手メーカーから受注しており、発注元の大手メーカーと一緒にエンドユーザ,"280,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　イーエムエス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001405211&kJKbn=1&jGSHNo=M9EHAtUacvsHAvgkJrQzsg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00078011,ネットワーク技術者（転勤なし）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどのインフラ設計　構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）　　　　　　　　　　,"235,000円〜505,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000078011&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00096311,ネットワーク技術者　将来の幹部候補（転勤あり）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどの　インフラ設計、構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）,"255,000円〜505,000円",フレックスタイム制,株式会社　ネットコムＢＢ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000096311&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00023911,ＳＥ・プログラマー,金融・証券を中心に、メインフレームからＷｅｂシステム、スマートフォンアプリまで幅広い設計・開発をしています。,"230,000円〜550,000円","										（1）09時00分〜17時30分
",株式会社　マークス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000023911&kJKbn=1&jGSHNo=3%2F%2BZxxLZrgTdnFiDrn2tDg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
