求人番号,職種,仕事の内容,賃金,就業時間,事業所名,詳細
08010-02955411,システムエンジニア,下記の業務に従事していただきます。・電子機器、コンピュータハードウェア及びソフトウェアの企画・,"185,000円〜250,000円","										（1）09時00分〜17時30分
",株式会社　クリアタクト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801002955411&kJKbn=1&jGSHNo=BzRfAHaGWTWSFzSeKazvXw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00719011,システムエンジニア／プログラマー,（１）社会インフラ分野社会インフラを支えるシステムとして、監視制御サーバやクライアントのアプリケーションソフト等システム開発,"230,000円〜360,000円","										（1）08時50分〜17時20分
",アイエンジニアリング　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000719011&kJKbn=1&jGSHNo=zcSfcmlYGg5dUNm%2Bsl7KyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-02631511,データ管理業務／エンジニア補助業務,・ＰＤＦデータ等の管理業務を行って頂きながら、機械設計　やシステム開発の補助業務を行って頂きます。,"190,500円〜210,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801002631511&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-11478611,ＳＥ・プログラマ／水戸事業所,システム開発全般・業務系システム開発　　　　・ＷＥＢアプリケーション開発・モバイル系システム開発,"192,500円〜378,530円",フレックスタイム制,株式会社　ジャパンテクニカルソフトウエア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304011478611&kJKbn=1&jGSHNo=DIMGCi1Fy1GL6vcstusNBA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-02249511,ＳＥ（システムエンジニア）,各種システムやアプリケーションの設計・開発業務を行っていただきます。,"215,000円〜350,000円","										（1）09時00分〜18時00分
","株式会社テクノプロ　テクノプロ・エンジニアリング社　つくば支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804002249511&kJKbn=1&jGSHNo=xMZaKBXI86nE1EXD6yANDA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08050-00734311,システムエンジニア　※正社員,ソフトウェアシステムに関する業務◆主な担当業務,"190,000円〜293,000円","										（1）09時00分〜18時00分
",株式会社　古河市情報センター,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0805000734311&kJKbn=1&jGSHNo=4HxCBA5zaqiKowC3MukZxw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-02030611,サーバー、ネットワーク運用保守,データセンタでサーバー、ネットワークの運用保守業務を行っていただきます。・サーバーオペレーション、ネットワークオペレーション,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801002030611&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00492511,システムエンジニア（Ａｎｄｒｏｉｄ－Ｊａｖａ）,車載機の開発《開発環境》,"280,000円〜450,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　北関東営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000492511&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01701411,システムエンジニア（Ａｎｄｒｏｉｄ－Ｊａｖａ）,車載機の開発《開発環境》,"280,000円〜450,000円","										（1）09時00分〜18時00分
",日本テクニカルシステム株式会社　茨城営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001701411&kJKbn=1&jGSHNo=JhG1mokBupVuGeEsyIohPg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-01707711,システムエンジニア（ＶＢ．Ｎｅｔ）,＊顧客管理システムの設計及び開発を担当して頂きます。　【開発環境】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801001707711&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
