求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,事業所名,就業場所,URL
08010-00529911,ＩＴインフラ／サーバーネットワークエンジニア,,"190,500円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,"株式会社テクノプロテクノプロ・エンジニアリング社水戸支
店",茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000529911&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00531811,営業職,,"249,539円〜459,781円","										（1）09時00分〜18時00分
",土日祝他,制限あり,"株式会社テクノプロテクノプロ・エンジニアリング社水戸支
店",茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000531811&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00188511,システムエンジニア（Ｐｙｔｈｏｎ）,,"330,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,フィット産業株式会社北関東支社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000188511&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-06048901,機械設計（エンジニアリング作業）,,"175,000円〜250,000円","										（1）08時40分〜17時40分
",土日祝他,制限あり,株式会社インテレクト,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802006048901&kJKbn=1&jGSHNo=UrA2HtEvkIP15X1XusauxQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-21825501,システム運用,,"195,000円〜390,000円",フレックスタイム制,土日祝,制限あり,（事業所の意向により公開していません）,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804021825501&kJKbn=1&jGSHNo=gVcL%2F0eDMptvqF%2BZxzZREg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13200-16383501,情報通信業／日立市,,"197,000円〜414,000円",変形労働時間制,土日祝他,制限あり,日本テクノストラクチャア株式会社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1320016383501&kJKbn=1&jGSHNo=yt9xZptgOj3K3Hb3MaLENw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-24369201,システムエンジニア（制御系）,,"250,000円〜430,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,フィット産業株式会社水戸営業所,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801024369201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-06000701,プログラマー（業務アプリケーション開発）（未経験者）,,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,フィット産業株式会社北関東支社,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802006000701&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05919701,システムエンジニア（公共系システム開発）,,"250,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,日本テクニカルシステム株式会社北関東営業所,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005919701&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23901401,プログラマー（公共系システム開発／未経験者）,,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,フィット産業株式会社水戸営業所,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023901401&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
