求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
05010-01233011,サービスエンジニア（茨城支店）,［主な仕事内容］・電子カルテ、レセコン等、システム等のセットアップ、サーバー構築、ＬＡＮ構築、インターネット接続設置,"210,000円〜268,000円",変形労働時間制,株式会社　アルファシステム,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0501001233011&kJKbn=1&jGSHNo=squAiRS80aoBnKGt7hOW1A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00805811,プログラマー、システムエンジニア,県内外大手プロジェクト先で、製造・医療・小売・金融・鉄道等の幅広い業界で使用するシステムの開発及び保守作業を行っていただきます。・取引先専用システムへの入力及びシステム保守業務（マ,"260,000円〜410,000円","										（1）09時00分〜18時00分
",株式会社　アイアイエス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000805811&kJKbn=1&jGSHNo=t94i7iT1u0ycEdsI12REsA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00529911,ＩＴインフラ／サーバーネットワークエンジニア,下記の業務を行っていただきます。・サーバー基盤の設計・構築・運用・保守（Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ）,"190,500円〜350,000円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000529911&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00531811,営業職,・新規、既存顧客へ案件受注や当社技術者の提案・契約締結に伴う契約書類の作成・顧客及び社員のフォロー,"249,539円〜459,781円","										（1）09時00分〜18時00分
","株式会社　テクノプロテクノプロ・エンジニアリング社　水戸支
店",https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000531811&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00564711,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発を担当して頂きます。　【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000564711&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00565811,プログラマー（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの開発を担当して頂きます。　【開発環境】,"280,000円〜400,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000565811&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00365011,システムエンジニア（業務系）,＊業務系システムの設計及び開発を担当して頂きます。【開発環境】,"250,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000365011&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-24369201,システムエンジニア（制御系）,＊制御システムの設計及び開発を担当して頂きます。　【開発環境】,"250,000円〜430,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801024369201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23697201,プログラマー・ＳＥ,業務系・Ｗｅｂ系・制御系のソフトウェアの設計、開発を行います。暮らしに必要な電気、安心して飲める水、安全な運行の旅客鉄道。,"200,000円〜400,000円",フレックスタイム制,株式会社　ユートピア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023697201&kJKbn=1&jGSHNo=zBrWtPy9EVE9w7XKyht4ZA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23621201,システムエンジニア（Ｗｅｂ系）,＊Ｗｅｂ系アプリケーションの開発を担当して頂きます。　【開発環境】,"250,000円〜440,000円","										（1）09時00分〜18時00分
",フィット産業株式会社　水戸営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023621201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23644101,システムエンジニア（セキュリティエンジニア）,セキュリティを考慮したシステムの設計・構築・運用、ならびにサイバー攻撃等に対する調査・改善などを実施していただきます。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023644101&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22835101,社内システムエンジニア,主に下記の業務を行っていただきます。・社内システムの構築・改修,"230,460円〜265,460円",変形労働時間制,常洋水産　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022835101&kJKbn=1&jGSHNo=Ts%2FwGP6kvdXI1e4rFv4lEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22927801,ソフトウエア開発,システム開発作業・主に制御系のシステム開発及び業務用パッケージソフト　の開発等。,"150,000円〜320,000円","										（1）09時00分〜18時00分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022927801&kJKbn=1&jGSHNo=NtVYvzJv68P3hNp2ZW193w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-22574801,プログラマー、会計システム開発,＊会計・債権債務に関連するシステムの開発に携わって　いただきます。,"175,500円〜210,500円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801022574801&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
