求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,事業所名,就業場所,URL
08010-00529911,ＩＴインフラ／サーバーネットワークエンジニア,下記の業務を行っていただきます。・サーバー基盤の設計・構築・運用・保守（Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ）,"190,500円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000529911&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-00531811,営業職,・新規、既存顧客へ案件受注や当社技術者の提案・契約締結に伴う契約書類の作成・顧客及び社員のフォロー,"249,539円〜459,781円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801000531811&kJKbn=1&jGSHNo=e5ds1SqWcOPOsl5%2B3BR96w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-00188511,システムエンジニア（Ｐｙｔｈｏｎ）,＊ＩＯＴ関連システムの設計及び開発【開発環境】,"330,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802000188511&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-06048901,機械設計（エンジニアリング作業）,配管応用解析、構造解析などの業務です。・パソコンにて解析用の専用ソフトを操作し、発電所などの,"175,000円〜250,000円","										（1）08時40分〜17時40分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802006048901&kJKbn=1&jGSHNo=UrA2HtEvkIP15X1XusauxQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-21825501,システム運用,ＩＴ部門の一員として、当行のシステム業務全般を担当いただくポジションです。主にシステムに関わる企画立案などをご担当いただきます。,"195,000円〜390,000円",フレックスタイム制,土日祝,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804021825501&kJKbn=1&jGSHNo=gVcL%2F0eDMptvqF%2BZxzZREg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13200-16383501,情報通信業／日立市,組み込み・制御系システムをはじめ、広範なニーズに対応できる総合的な技術力を誇ります。物流、電子マネー、医療、防災、セキュリティなど、絶対的な安定稼働・安定供給が求められる、社会の重,"197,000円〜414,000円",変形労働時間制,土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1320016383501&kJKbn=1&jGSHNo=yt9xZptgOj3K3Hb3MaLENw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-24369201,システムエンジニア（制御系）,＊制御システムの設計及び開発を担当して頂きます。【開発環境】,"250,000円〜430,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801024369201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-06000701,プログラマー（業務アプリケーション開発）（未経験者）,社内教育及びＯＪＴ教育後、業務アプリケーション開発業務に就いて頂きます,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802006000701&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05919701,システムエンジニア（公共系システム開発）,公共系システム開発《開発環境》,"250,000円〜420,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005919701&kJKbn=1&jGSHNo=HBi1KxGIBNwG4QvyTc7piw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23901401,プログラマー（公共系システム開発／未経験者）,社内教育及びＯＪＴ教育後、公共系のシステム開発に携わっていただきます。,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023901401&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23697201,プログラマー・ＳＥ,業務系・Ｗｅｂ系・制御系のソフトウェアの設計、開発を行います。暮らしに必要な電気、安心して飲める水、安全な運行の旅客鉄道。,"200,000円〜400,000円",フレックスタイム制,土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023697201&kJKbn=1&jGSHNo=zBrWtPy9EVE9w7XKyht4ZA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23621201,システムエンジニア（Ｗｅｂ系）,＊Ｗｅｂ系アプリケーションの開発を担当して頂きます。【開発環境】,"250,000円〜440,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023621201&kJKbn=1&jGSHNo=LT7BKNe7Kjzm%2FUdoXfLQyA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08010-23644101,システムエンジニア（セキュリティエンジニア）,セキュリティを考慮したシステムの設計・構築・運用、ならびにサイバー攻撃等に対する調査・改善などを実施していただきます。,"191,500円〜386,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県水戸市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0801023644101&kJKbn=1&jGSHNo=02me%2Bpehe4YmXrl6Kb%2FVEw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05720901,システムエンジニア（鉄道運行管理制御システム）,＊鉄道運行管理制御システムの設計及び開発を担当していただきます。,"250,000円〜480,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005720901&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08020-05683901,プログラマー（生産管理システム）（未経験者）,社内教育及びＯＪＴ教育後、生産管理システム開発業務に就いて頂きます,"190,000円〜250,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県日立市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0802005683901&kJKbn=1&jGSHNo=uyxYj%2FXRbg%2FQyzeHoO8UkQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
08040-20889801,コンピュータシステムのＳＥおよびＰＧ,○コンピューターシステムの次の仕事をして頂きます。（主な担当業務）,"164,000円〜240,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,,茨城県土浦市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0804020889801&kJKbn=1&jGSHNo=q%2FZwVhNxAntYymMoG4iKOQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
